param,label,base_val,val_low,val_high,ai_baseline,ai_low,ai_high,delta_low,delta_high,total_swing
rent_kappa,Rent elasticity (κ_r),1.446,1.1568,1.7351999999999999,0.03947021400469562,0.03947021400469562,0.03947021400469562,0.0,0.0,0.0
omega0,Infra baseline load (ω₀),0.5,0.4,0.6,0.03947021400469562,0.03947021400469562,0.03947021400469562,0.0,0.0,0.0
omega1,Infra density sensitivity (ω₁),0.3,0.24,0.36,0.03947021400469562,0.03947021400469562,0.03947021400469562,0.0,0.0,0.0
base_demand,Base demand (fraction of stock),0.02,0.016,0.024,0.03947021400469562,0.03947021400469562,0.03947021400469562,0.0,0.0,0.0
demand_growth,Demand growth rate,0.0025,0.002,0.003,0.03947021400469562,0.03947021400469562,0.03947021400469562,0.0,0.0,0.0
vacancy_eq,Steady-state vacancy (v_eq),0.013,0.0104,0.0156,0.03947021400469562,0.032772471411943574,0.047580464051200796,-0.006697742592752048,0.008110250046505174,0.014807992639257223
price_kappa,Price elasticity (κ_p),2.149,1.7192,2.5787999999999998,0.03947021400469562,0.048007487217660474,0.03249633345376278,0.008537273212964852,-0.006973880550932843,0.015511153763897695
