ctuid,ai_own_s0,ai_own_s1,ai_own_s2,ai_own_change_s1,ai_own_change_s2
2021S05075350001.00,0.05073779591093773,0.05073779591093773,0.05073779591093773,0.0,0.0
2021S05075350002.00,0.07869913599324287,0.07869913599324287,0.07869913599324287,0.0,0.0
2021S05075350003.00,0.05070930753591757,0.05667016401017648,0.05083966048699553,0.00596085647425891,0.0001303529510779597
2021S05075350004.00,0.012344962508743973,0.014762614063193553,0.013515640314806695,0.00241765155444958,0.001170677806062722
2021S05075350005.00,0.03648212801091503,0.03648212801091503,0.03648212801091503,0.0,0.0
2021S05075350007.01,0.016295350511542052,0.016295350511542052,0.017895305991645988,0.0,0.001599955480103936
2021S05075350007.02,0.016966410012017354,0.016966410012017354,0.016966410012017354,0.0,0.0
2021S05075350008.01,0.051688979712870446,0.051688979712870446,0.06279349738910242,0.0,0.011104517676231974
2021S05075350008.02,0.04795884715627155,0.05614132529025895,0.04795884715627155,0.008182478133987398,0.0
2021S05075350009.00,0.017827230204320373,0.017827230204320373,0.017827230204320373,0.0,0.0
2021S05075350010.01,0.05092297034856891,0.05092297034856891,0.060307738882631134,0.0,0.009384768534062227
2021S05075350010.02,0.04789845453392662,0.06365288871790196,0.04789845453392662,0.015754434183975347,0.0
2021S05075350011.01,0.047268211711111806,0.07229066655017556,0.047268211711111806,0.025022454839063756,0.0
2021S05075350011.02,0.04526486253206124,0.08019395720924409,0.08179318378814567,0.03492909467718285,0.03652832125608443
2021S05075350011.03,0.04444186503147832,0.11577045414352125,0.04444186503147832,0.07132858911204293,0.0
2021S05075350012.01,0.04541504455771505,0.06452977456283272,0.04541504455771505,0.019114730005117674,0.0
2021S05075350012.03,0.0518488425367247,0.0518488425367247,0.0904588991269578,0.0,0.0386100565902331
2021S05075350012.04,0.05026163307131476,0.05026163307131476,0.07083405926958877,0.0,0.020572426198274013
2021S05075350013.01,0.04493566353182806,0.0467717659787062,0.06262785057817526,0.0018361024468781378,0.017692187046347195
2021S05075350013.02,0.04357045591321404,0.06718880755454164,0.04357045591321404,0.023618351641327598,0.0
2021S05075350014.00,0.034072096524133365,0.04003126368685376,0.037835957940124725,0.005959167162720394,0.0037638614159913597
2021S05075350015.00,0.043515992843322526,0.07722073953345324,0.06883709641588946,0.03370474669013071,0.025321103572566936
2021S05075350016.00,0.050623227553842194,0.05864457486040524,0.055380325187273434,0.008021347306563044,0.00475709763343124
2021S05075350017.01,0.04973256324951145,0.04973256324951145,0.09532210800040067,0.0,0.04558954475088922
2021S05075350017.02,0.03677035261533027,0.03677035261533027,0.03690503048016899,0.0,0.00013467786483872118
