ctuid,ct_code,GEO_NAME,population_2021,total_private_dwellings,total_households,median_household_income,median_aftertax_income,renter_share,owner_households,renter_households,home_price,annual_rent,median_monthly_shelter_owned,median_monthly_shelter_rented,median_dwelling_value
2021S05075350015.00,5350015.00,5350015.00,4922.0,3688.0,3045.0,94000.0,79500.0,0.49917081260364843,1505.0,1505.0,800000.0,23280.0,1980.0,1940.0,800000.0
2021S05075350016.00,5350016.00,5350016.00,11144.0,7596.0,6845.0,95000.0,79000.0,0.4784514243973703,3565.0,3275.0,695000.0,22080.0,2160.0,1840.0,695000.0
2021S05075350017.01,5350017.01,5350017.01,4787.0,3196.0,2950.0,94000.0,78000.0,0.4664371772805508,1550.0,1355.0,700000.0,23760.0,2280.0,1980.0,700000.0
2021S05075350017.02,5350017.02,5350017.02,8710.0,5537.0,5145.0,69500.0,60800.0,0.7174541947926711,1465.0,3720.0,700000.0,16800.0,1940.0,1400.0,700000.0
2021S05075350018.00,5350018.00,5350018.00,3633.0,2167.0,1985.0,105000.0,87000.0,0.5103092783505154,955.0,990.0,990000.0,24960.0,2320.0,2080.0,990000.0
2021S05075350019.00,5350019.00,5350019.00,3269.0,1456.0,1375.0,80000.0,71000.0,0.4558303886925795,765.0,645.0,1100000.0,12360.0,2080.0,1030.0,1100000.0
2021S05075350020.00,5350020.00,5350020.00,2298.0,1036.0,990.0,147000.0,118000.0,0.14427860696517414,860.0,145.0,1510000.0,27600.0,1490.0,2300.0,1510000.0
2021S05075350021.00,5350021.00,5350021.00,5192.0,2847.0,2610.0,89000.0,75000.0,0.5645472061657033,1130.0,1465.0,1510000.0,18360.0,1760.0,1530.0,1510000.0
2021S05075350022.00,5350022.00,5350022.00,3847.0,1582.0,1480.0,149000.0,122000.0,0.2440677966101695,1120.0,360.0,1510000.0,18600.0,2500.0,1550.0,1510000.0
2021S05075350023.00,5350023.00,5350023.00,3374.0,1506.0,1405.0,134000.0,109000.0,0.23404255319148937,1080.0,330.0,1600000.0,18360.0,1620.0,1530.0,1600000.0
2021S05075350024.00,5350024.00,5350024.00,6891.0,3148.0,2940.0,115000.0,97000.0,0.39285714285714285,1785.0,1155.0,1400000.0,19200.0,2500.0,1600.0,1400000.0
2021S05075350025.00,5350025.00,5350025.00,3553.0,1737.0,1630.0,84000.0,74500.0,0.48623853211009177,840.0,795.0,1200000.0,14400.0,2340.0,1200.0,1200000.0
2021S05075350026.00,5350026.00,5350026.00,6409.0,3027.0,2735.0,98000.0,84000.0,0.3820840950639854,1695.0,1045.0,1000000.0,15600.0,2200.0,1300.0,1000000.0
2021S05075350027.00,5350027.00,5350027.00,4405.0,1889.0,1755.0,98000.0,86000.0,0.3898305084745763,1075.0,690.0,1200000.0,14520.0,1980.0,1210.0,1200000.0
2021S05075350028.01,5350028.01,5350028.01,1290.0,714.0,655.0,118000.0,97000.0,0.37037037037037035,425.0,250.0,1000000.0,27120.0,2160.0,2260.0,1000000.0
2021S05075350028.02,5350028.02,5350028.02,5868.0,2925.0,2765.0,109000.0,92000.0,0.36968576709796674,1700.0,1000.0,1000000.0,20400.0,2200.0,1700.0,1000000.0
2021S05075350029.00,5350029.00,5350029.00,6722.0,3110.0,2945.0,92000.0,80000.0,0.47855917667238423,1520.0,1395.0,1200000.0,12480.0,2080.0,1040.0,1200000.0
