ctuid,near_subway_500m,near_rapid_500m,n_subway_stops_800m,n_rapid_stops_800m,n_all_stops_800m,dist_nearest_subway_m,dist_nearest_rapid_m,n_subway_stops_800m_norm,n_rapid_stops_800m_norm,n_all_stops_800m_norm,transit_indicator
2021S05075350401.17,0,0,0,0,0,8113.966075024006,8113.966075024006,0.0,0.0,0.0,0.0
2021S05075350573.09,0,0,0,0,0,21032.491317137297,16108.37032669546,0.0,0.0,0.0,0.0
2021S05075350528.39,0,0,0,0,0,18019.855489522688,17327.6129752499,0.0,0.0,0.0,0.0
2021S05075350528.40,0,0,0,0,0,15655.403671906746,15151.175521706606,0.0,0.0,0.0,0.0
2021S05075350528.42,0,0,0,0,0,13054.983746862763,11932.548280134917,0.0,0.0,0.0,0.0
2021S05075350528.43,0,0,0,0,0,12400.219225264647,10737.833196893229,0.0,0.0,0.0,0.0
2021S05075350412.18,0,0,0,0,0,3790.035023154836,3790.035023154836,0.0,0.0,0.0,0.0
2021S05075350576.20,0,0,0,0,0,18338.213160002328,12004.9883111484,0.0,0.0,0.0,0.0
2021S05075350576.22,0,0,0,0,0,16998.450308740237,11216.258234373818,0.0,0.0,0.0,0.0
2021S05075350010.01,0,1,0,28,50,2390.884077126875,105.65706539022987,0.0,0.4827586206896552,0.5555555555555556,0.4827586206896552
2021S05075350010.02,0,1,0,35,58,1851.7492752721826,41.53215296270815,0.0,0.603448275862069,0.6444444444444445,0.603448275862069
2021S05075350400.15,0,0,0,0,0,13400.627830009993,13400.627830009993,0.0,0.0,0.0,0.0
2021S05075350400.16,0,0,0,0,0,12771.793989796113,12771.793989796113,0.0,0.0,0.0,0.0
2021S05075350403.04,0,0,0,0,0,11113.218371200293,11113.218371200293,0.0,0.0,0.0,0.0
2021S05075350403.05,0,0,0,0,0,12332.876974690651,12332.876974690651,0.0,0.0,0.0,0.0
2021S05075350403.07,0,0,0,0,0,12908.839438315885,12908.839438315885,0.0,0.0,0.0,0.0
2021S05075350805.09,0,0,0,0,0,24424.651791608958,24424.651791608958,0.0,0.0,0.0,0.0
2021S05075350805.10,0,0,0,0,0,23207.99580274468,23207.99580274468,0.0,0.0,0.0,0.0
2021S05075350631.02,0,0,0,0,0,27038.06263531207,23979.235126862637,0.0,0.0,0.0,0.0
2021S05075350612.15,0,0,0,0,0,30777.84385177282,26562.97946673708,0.0,0.0,0.0,0.0
2021S05075350001.00,0,0,0,0,11,3523.0312578292683,1729.5774317966848,0.0,0.0,0.12222222222222222,0.0
2021S05075350002.00,0,0,0,0,0,2480.4805974161786,1772.3517871111821,0.0,0.0,0.0,0.0
2021S05075350003.00,0,1,0,16,22,2358.6204965483885,435.61270654580755,0.0,0.27586206896551724,0.24444444444444444,0.27586206896551724
2021S05075350004.00,0,1,0,28,37,2397.6812409608547,135.15415016621057,0.0,0.4827586206896552,0.4111111111111111,0.4827586206896552
2021S05075350005.00,0,1,0,33,55,2330.5194477843206,179.24915685703036,0.0,0.5689655172413793,0.6111111111111112,0.5689655172413793
