param,label,base_val,val_low,val_high,ai_baseline,ai_low,ai_high,delta_low,delta_high,total_swing
demand_growth,Demand growth rate,0.0025,0.002,0.003,0.05167954786763042,0.05167954786763042,0.05167963122705953,0.0,8.335942910941974e-08,8.335942910941974e-08
base_demand,Base demand (fraction of stock),0.02,0.016,0.024,0.05167954786763042,0.05167859338873804,0.051684485191248644,-9.544788923815384e-07,4.937323618225964e-06,5.891802510607502e-06
rent_kappa,Rent elasticity (κ_r),1.446,1.1568,1.7351999999999999,0.05167954786763042,0.05167626538058164,0.05168445029883427,-3.2824870487765945e-06,4.902431203851476e-06,8.18491825262807e-06
omega0,Infra baseline load (ω₀),0.5,0.4,0.6,0.05167954786763042,0.05167954786763042,0.05160246834335558,0.0,-7.707952427483955e-05,7.707952427483955e-05
omega1,Infra density sensitivity (ω₁),0.3,0.24,0.36,0.05167954786763042,0.05167954786763042,0.05160246834335558,0.0,-7.707952427483955e-05,7.707952427483955e-05
vacancy_eq,Steady-state vacancy (v_eq),0.013,0.0104,0.0156,0.05167954786763042,0.04270881674767437,0.06272950066349478,-0.008970731119956048,0.011049952795864362,0.02002068391582041
price_kappa,Price elasticity (κ_p),2.149,1.7192,2.5787999999999998,0.05167954786763042,0.05296406335897188,0.08755834895663037,0.0012845154913414605,0.03587880108899995,0.03459428559765849
